NRKARTY,DATAW,MASA,JEDN,FIRMA,NR_KLIENTA,NR_MAGW,NR_ODPADU
366/0W/2018,27.04.2018,2.02,Mg.,0,6357,33334,582
367/0W/2018,30.04.2018,1.96,Mg.,0,6357,33335,626
368/0W/2018,30.04.2018,5.02,Mg.,0,6357,33336,528
369/0W/2018,30.04.2018,3.94,Mg.,0,6357,33337,351
370/0W/2018,04.05.2018,24.2,Mg.,0,17224,33338,793
166/1W/2018,04.05.2018,13.5,Mg.,1,6827,33339,379
961/0W/2010,31.05.2010,22.4,Mg.,0,827,15787,531
1064/1W/2010,27.12.2010,28.3,Mg.,1,1756,15788,572
962/0W/2010,31.12.2010,7.669,Mg.,0,5835,15789,604
963/0W/2010,29.10.2010,12.58,Mg.,0,194,15809,630
4/0W/2011,13.01.2011,7.669,Mg.,0,8327,15790,572
964/0W/2010,29.10.2010,4.384,Mg.,0,194,15810,594
965/0W/2010,22.11.2010,1.621,Mg.,0,194,15811,595
1/1W/2011,10.01.2011,1.43,Mg.,1,313,15791,531
2/1W/2011,05.01.2011,17.44,Mg.,1,6091,15792,528
3/1W/2011,05.01.2011,16.38,Mg.,1,6091,15793,570
4/1W/2011,04.01.2011,4.03,Mg.,1,396,15794,576
966/0W/2010,22.11.2010,8.624,Mg.,0,194,15812,565
5/1W/2011,03.01.2011,5.46,Mg.,1,6118,15795,565
7/1W/2011,10.01.2011,6.49,Mg.,1,729,15797,590
6/1W/2011,04.01.2011,4.58,Mg.,1,6118,15796,531
8/1W/2011,07.01.2011,4.94,Mg.,1,1762,15798,607
9/1W/2011,04.01.2011,2.417,Mg.,1,1763,15799,575
10/1W/2011,03.01.2011,3.67,Mg.,1,1762,15800,633
11/1W/2011,11.01.2011,1.09,Mg.,1,2195,15801,588
5/0W/2011,10.01.2011,0.7,Mg.,0,643,15802,531
967/0W/2010,30.11.2010,0.144,Mg.,0,194,15813,531
12/1W/2011,13.01.2011,4.28,Mg.,1,1763,15803,594
968/0W/2010,30.11.2010,0.051,Mg.,0,194,15814,570
6/0W/2011,10.01.2011,0.211,Mg.,0,5835,15804,575
969/0W/2010,30.11.2010,0.005,Mg.,0,194,15815,604
970/0W/2010,30.11.2010,0.216,Mg.,0,194,15816,589
7/0W/2011,14.01.2011,0.211,Mg.,0,8327,15805,531
8/0W/2011,17.01.2011,6.99,Mg.,0,9050,15806,604
13/1W/2011,05.01.2011,16.73,Mg.,1,1756,15807,575
14/1W/2011,13.01.2011,20.98,Mg.,1,1756,15808,570
9/0W/2011,11.01.2011,0.206,Mg.,0,827,15817,531
15/1W/2011,11.01.2011,8.68,Mg.,1,6091,15819,568
10/0W/2011,11.01.2011,5.08,Mg.,0,827,15818,277
16/1W/2011,11.01.2011,22.92,Mg.,1,6091,15820,589
17/1W/2011,14.01.2011,6.84,Mg.,1,6091,15821,604
18/1W/2011,13.01.2011,17.53,Mg.,1,6091,15822,575
19/1W/2011,13.01.2011,17.09,Mg.,1,1756,15823,582
11/0W/2011,05.01.2011,22.9,Mg.,0,5835,15824,531
12/0W/2011,07.01.2011,11.51,Mg.,0,8718,15825,390
13/0W/2011,11.01.2011,4.79,Mg.,0,8718,15826,572
14/0W/2011,14.01.2011,6.6,Mg.,0,8718,15827,576
971/0W/2010,07.06.2010,0.29,Mg.,0,5066,15828,878
1065/1W/2010,03.12.2010,0.105,Mg.,1,2363,15829,500
1066/1W/2010,21.12.2010,1.28,Mg.,1,2001,15830,575
1067/1W/2010,20.12.2010,1.18,Mg.,1,2001,15831,531
1068/1W/2010,29.12.2010,0.508,Mg.,1,2363,15832,271
15/0W/2011,20.01.2011,10.89,Mg.,0,8309,15833,564
16/0W/2011,20.01.2011,12.53,Mg.,0,8309,15834,564
2/0W/2010,05.01.2010,100.0,Mg.,0,7233,13546,627
3/0W/2010,14.01.2010,24.28,Mg.,0,7534,13547,531
4/0W/2010,04.01.2010,0.36,Mg.,0,7534,13548,582
5/0W/2010,04.01.2010,0.27,Mg.,0,7534,13549,582
6/0W/2010,04.01.2010,2.93,Mg.,0,7534,13550,576
7/0W/2010,04.01.2010,4.36,Mg.,0,7534,13551,565
8/0W/2010,04.01.2010,16.655,Mg.,0,7534,13552,570
20/1W/2011,19.01.2011,6.005,Mg.,1,1762,15835,102
9/0W/2010,08.01.2010,6.84,Mg.,0,5226,13558,375
10/0W/2010,22.01.2010,24.415,Mg.,0,7534,13563,565
11/0W/2010,06.01.2010,18.88,Mg.,0,2382,13575,531
15/0W/2010,11.01.2010,17.1,Mg.,0,2382,13579,572
12/0W/2010,07.01.2010,16.52,Mg.,0,2382,13576,531
16/0W/2010,11.01.2010,17.74,Mg.,0,2382,13580,492
13/0W/2010,07.01.2010,17.34,Mg.,0,2382,13577,803
17/0W/2010,11.01.2010,9.22,Mg.,0,2382,13581,531
14/0W/2010,08.01.2010,15.64,Mg.,0,2382,13578,572
18/0W/2010,12.01.2010,18.74,Mg.,0,2382,13582,531
19/0W/2010,07.01.2010,1.963,Mg.,0,194,13583,607
20/0W/2010,07.01.2010,0.0,Mg.,0,194,13584,529
21/0W/2010,07.01.2010,0.0,Mg.,0,194,13585,496
22/0W/2010,07.01.2010,20.519,Mg.,0,194,13586,528
23/0W/2010,11.01.2010,1.465,Mg.,0,194,13587,572
24/0W/2010,21.01.2010,0.377,Mg.,0,194,13588,572
25/0W/2010,21.01.2010,3.544,Mg.,0,194,13589,579
26/0W/2010,25.01.2010,2.134,Mg.,0,194,13590,564
27/0W/2010,25.01.2010,0.321,Mg.,0,194,13591,355
28/0W/2010,05.02.2010,9.16,Mg.,0,7534,13593,565
29/0W/2010,05.02.2010,1.05,Mg.,0,7534,13594,564
30/0W/2010,05.02.2010,3.21,Mg.,0,7534,13595,565
31/0W/2010,05.02.2010,1.69,Mg.,0,7534,13596,390
32/0W/2010,05.02.2010,9.285,Mg.,0,7534,13597,576
33/0W/2010,09.02.2010,24.87,Mg.,0,7534,13598,565
1/2W/2010,25.01.2010,0.0,Mg.,2,6065,13599,572
181/1W/2010,14.04.2010,18.4,Mg.,1,1756,14028,565
1/1W/2010,04.01.2010,59.4,Mg.,1,1756,13635,565
7/1W/2010,12.01.2010,29.72,Mg.,1,1756,13641,531
2/1W/2010,05.01.2010,17.88,Mg.,1,1756,13636,500
8/1W/2010,08.01.2010,2.5,Mg.,1,6091,13642,531
3/1W/2010,06.01.2010,16.02,Mg.,1,1756,13637,531
9/1W/2010,22.01.2010,4.68,Mg.,1,6091,13643,531
10/1W/2010,06.01.2010,5.24,Mg.,1,1763,13644,565
4/1W/2010,07.01.2010,33.1,Mg.,1,1756,13638,604
11/1W/2010,15.01.2010,5.12,Mg.,1,1763,13645,276
12/1W/2010,14.01.2010,2.15,Mg.,1,1782,13646,710
13/1W/2010,21.01.2010,5.42,Mg.,1,1431,13647,576
5/1W/2010,07.01.2010,16.43,Mg.,1,1756,13639,531
14/1W/2010,29.01.2010,1.71,Mg.,1,5799,13648,531
6/1W/2010,08.01.2010,30.38,Mg.,1,1756,13640,531
15/1W/2010,29.01.2010,93.38,Mg.,1,4435,13649,375
16/1W/2010,22.01.2010,52.2,Mg.,1,4435,13650,566
17/1W/2010,19.01.2010,17.66,Mg.,1,4435,13651,511
18/1W/2010,25.01.2010,8.32,Mg.,1,4435,13652,565
19/1W/2010,02.02.2010,12.381,Mg.,1,7448,13653,575
20/1W/2010,04.01.2010,8.572,Mg.,1,6118,13654,344
35/0W/2010,01.02.2010,0.86,Mg.,0,655,13667,595
21/1W/2010,04.01.2010,9.74,Mg.,1,6118,13655,582
2/2W/2010,09.02.2010,0.0,Mg.,2,194,13663,276
22/1W/2010,05.01.2010,3.27,Mg.,1,6118,13656,531
25/1W/2010,14.01.2010,30.8,Mg.,1,1756,13669,610
23/1W/2010,06.01.2010,3.61,Mg.,1,6118,13657,564
24/1W/2010,01.02.2010,4.52,Mg.,1,6118,13658,568
36/0W/2010,10.02.2010,4.94,Mg.,0,8074,13668,504
26/1W/2010,18.01.2010,18.14,Mg.,1,1756,13670,71
27/1W/2010,21.01.2010,31.63,Mg.,1,1756,13671,531
28/1W/2010,21.01.2010,21.64,Mg.,1,1756,13672,570
29/1W/2010,22.01.2010,30.5,Mg.,1,1756,13673,531
30/1W/2010,27.01.2010,27.28,Mg.,1,1756,13674,564
34/0W/2010,11.02.2010,26.0,Mg.,0,7534,13659,582
37/0W/2010,16.02.2010,24.985,Mg.,0,7534,13675,582
3/2W/2010,29.01.2010,37.82,Mg.,2,6065,13677,564
31/1W/2010,16.02.2010,6.4,Mg.,1,1763,13676,579
32/1W/2010,12.01.2010,11.5,Mg.,1,4774,13678,576
35/1W/2010,29.01.2010,8.06,Mg.,1,1892,13682,604
33/1W/2010,18.01.2010,7.91,Mg.,1,4774,13679,531
36/1W/2010,16.02.2010,6.366,Mg.,1,6118,13687,597
34/1W/2010,25.01.2010,19.6,Mg.,1,4774,13680,512
38/0W/2010,24.02.2010,1.1,Mg.,0,5066,13690,565
39/0W/2010,24.02.2010,5.12,Mg.,0,5066,13691,373
37/1W/2010,18.02.2010,10.45,Mg.,1,6118,13689,528
40/0W/2010,24.02.2010,3.87,Mg.,0,5066,13692,531
41/0W/2010,24.02.2010,8.73,Mg.,0,5066,13693,351
38/1W/2010,05.02.2010,24.97,Mg.,1,1756,13694,522
39/1W/2010,08.02.2010,18.77,Mg.,1,1756,13695,568
40/1W/2010,08.02.2010,29.12,Mg.,1,1756,13696,500
42/0W/2010,25.02.2010,3.0,Mg.,0,7534,13698,582
43/0W/2010,25.02.2010,0.77,Mg.,0,7534,13699,565
44/0W/2010,25.02.2010,2.5,Mg.,0,7534,13700,694
45/0W/2010,25.02.2010,0.72,Mg.,0,7534,13701,572
46/0W/2010,25.02.2010,1.47,Mg.,0,7534,13702,582
47/0W/2010,25.02.2010,17.0,Mg.,0,7534,13703,587
41/1W/2010,15.02.2010,3.43,Mg.,1,6118,13704,572
49/0W/2010,01.03.2010,0.0,Mg.,0,7534,13707,531
48/0W/2010,29.01.2010,83.675,Mg.,0,827,13705,572
42/1W/2010,03.02.2010,26.73,Mg.,1,1756,13706,531
50/0W/2010,01.02.2010,0.388,Mg.,0,194,13708,570
51/0W/2010,01.02.2010,3.04,Mg.,0,194,13709,531
52/0W/2010,11.02.2010,1.41,Mg.,0,194,13710,575
53/0W/2010,11.02.2010,0.468,Mg.,0,194,13711,572
54/0W/2010,18.02.2010,2.194,Mg.,0,194,13712,531
55/0W/2010,18.02.2010,1.46,Mg.,0,194,13713,407
56/0W/2010,26.02.2010,8.277,Mg.,0,194,13714,572
57/0W/2010,26.02.2010,4.594,Mg.,0,194,13715,576
58/0W/2010,11.02.2010,0.25,Mg.,0,7534,13716,567
59/0W/2010,25.02.2010,0.185,Mg.,0,7534,13717,582
43/1W/2010,26.03.2010,6.6,Mg.,1,1763,13745,528
60/0W/2010,03.03.2010,0.38,Mg.,0,5066,13746,579
44/1W/2010,17.02.2010,3.342,Mg.,1,7448,13748,572
61/0W/2010,03.03.2010,21.3,Mg.,0,5066,13747,673
45/1W/2010,17.02.2010,2.27,Mg.,1,7448,13749,531
46/1W/2010,26.03.2010,6.15,Mg.,1,396,13750,582
48/1W/2010,17.02.2010,22.74,Mg.,1,8652,13752,345
49/1W/2010,15.02.2010,14.36,Mg.,1,1756,13753,264
50/1W/2010,11.02.2010,33.94,Mg.,1,1756,13754,607
47/1W/2010,24.02.2010,22.47,Mg.,1,8652,13751,271
51/1W/2010,17.02.2010,17.7,Mg.,1,1756,13755,575
52/1W/2010,18.02.2010,13.1,Mg.,1,1756,13756,525
53/1W/2010,02.03.2010,10.52,Mg.,1,6091,13757,682
54/1W/2010,05.03.2010,5.12,Mg.,1,1431,13758,354
62/0W/2010,22.02.2010,2.175,Mg.,0,827,13759,624
63/0W/2010,22.02.2010,0.32,Mg.,0,827,13760,582
64/0W/2010,26.02.2010,55.423,Mg.,0,827,13761,575
65/0W/2010,05.03.2010,13.587,Mg.,0,4059,13762,565
66/0W/2010,05.03.2010,55.104,Mg.,0,4059,13763,520
67/0W/2010,05.03.2010,10.473,Mg.,0,4059,13764,390
4/2W/2010,26.02.2010,59.88,Mg.,2,6065,13765,565
5/2W/2010,08.03.2010,6.98,Mg.,2,827,13766,605
6/2W/2010,08.03.2010,0.06,Mg.,2,827,13767,525
55/1W/2010,24.02.2010,2.61,Mg.,1,6118,13769,579
57/1W/2010,21.01.2010,18.96,Mg.,1,8652,13771,576
58/1W/2010,26.02.2010,2.971,Mg.,1,7448,13772,582
56/1W/2010,24.02.2010,0.973,Mg.,1,6118,13770,710
59/1W/2010,26.02.2010,1.404,Mg.,1,7448,13773,575
61/1W/2010,18.02.2010,8.1,Mg.,1,1431,13775,531
60/1W/2010,22.02.2010,7.3,Mg.,1,1762,13774,564
63/1W/2010,04.03.2010,0.0,Mg.,1,4774,13778,370
62/1W/2010,25.02.2010,6.78,Mg.,1,1431,13776,582
64/1W/2010,05.03.2010,8.005,Mg.,1,1762,13779,612
65/1W/2010,02.03.2010,4.78,Mg.,1,6118,13780,572
371/0W/2018,08.05.2018,9.1,Mg.,0,2349,33340,531
66/1W/2010,24.02.2010,8.34,Mg.,1,1756,13782,565
69/1W/2010,27.02.2010,30.46,Mg.,1,1756,13785,587
67/1W/2010,20.03.2010,17.5,Mg.,1,1756,13783,565
70/1W/2010,25.02.2010,15.08,Mg.,1,1756,13786,370
68/1W/2010,26.02.2010,27.9,Mg.,1,1756,13784,531
71/1W/2010,22.02.2010,17.06,Mg.,1,1756,13787,545
72/1W/2010,26.02.2010,10.74,Mg.,1,1756,13788,630
73/1W/2010,11.03.2010,2.03,Mg.,1,657,13789,346
74/1W/2010,11.03.2010,5.62,Mg.,1,1431,13790,564
79/1W/2010,25.02.2010,0.7,Mg.,1,5688,13795,564
75/1W/2010,19.02.2010,0.6,Mg.,1,5688,13791,572
76/1W/2010,10.02.2010,0.32,Mg.,1,5688,13792,496
77/1W/2010,25.02.2010,0.24,Mg.,1,5688,13793,531
78/1W/2010,25.02.2010,0.1,Mg.,1,5688,13794,531
80/1W/2010,25.02.2010,0.46,Mg.,1,5688,13796,564
81/1W/2010,25.02.2010,0.36,Mg.,1,5688,13797,565
82/1W/2010,10.02.2010,0.84,Mg.,1,5688,13798,568
83/1W/2010,10.02.2010,0.06,Mg.,1,5688,13799,572
84/1W/2010,19.02.2010,0.04,Mg.,1,5688,13800,540
86/1W/2010,16.03.2010,0.8,Mg.,1,7448,13802,610
85/1W/2010,19.02.2010,0.54,Mg.,1,5688,13801,565
87/1W/2010,15.03.2010,10.385,Mg.,1,6118,13803,565
88/1W/2010,22.03.2010,0.0,Mg.,1,2363,13810,582
89/1W/2010,11.03.2010,4.47,Mg.,1,6118,13813,565
68/0W/2010,08.03.2010,17.46,Mg.,0,2382,13804,582
90/1W/2010,11.03.2010,2.85,Mg.,1,6118,13814,271
69/0W/2010,08.03.2010,21.94,Mg.,0,2382,13805,565
74/0W/2010,17.03.2010,2.52,Mg.,0,827,13811,520
70/0W/2010,08.03.2010,22.18,Mg.,0,2382,13806,576
91/1W/2010,08.03.2010,5.48,Mg.,1,1756,13815,531
71/0W/2010,09.03.2010,17.92,Mg.,0,2382,13807,576
75/0W/2010,17.03.2010,1.06,Mg.,0,827,13812,710
72/0W/2010,09.03.2010,19.92,Mg.,0,2382,13808,528
92/1W/2010,05.02.2010,9.02,Mg.,1,1756,13816,582
73/0W/2010,11.03.2010,18.62,Mg.,0,2382,13809,582
93/1W/2010,03.02.2010,6.36,Mg.,1,1763,13817,576
94/1W/2010,18.03.2010,7.46,Mg.,1,1763,13818,588
95/1W/2010,16.03.2010,7.24,Mg.,1,6118,13819,579
96/1W/2010,08.03.2010,32.25,Mg.,1,1756,13820,277
97/1W/2010,10.03.2010,27.28,Mg.,1,1756,13821,589
99/1W/2010,11.03.2010,14.46,Mg.,1,1756,13823,565
98/1W/2010,09.03.2010,28.0,Mg.,1,1756,13822,531
100/1W/2010,11.03.2010,13.85,Mg.,1,6091,13824,522
101/1W/2010,08.03.2010,22.92,Mg.,1,8652,13825,531
102/1W/2010,10.03.2010,13.4,Mg.,1,1756,13826,604
106/1W/2010,04.03.2010,7.77,Mg.,1,4774,13830,565
103/1W/2010,15.03.2010,57.66,Mg.,1,1756,13827,575
107/1W/2010,17.03.2010,0.149,Mg.,1,7448,13831,565
104/1W/2010,17.03.2010,16.1,Mg.,1,1756,13828,575
108/1W/2010,22.03.2010,0.175,Mg.,1,7448,13832,579
105/1W/2010,17.03.2010,27.43,Mg.,1,1756,13829,576
109/1W/2010,22.03.2010,10.325,Mg.,1,6118,13834,564
76/0W/2010,22.03.2010,10.808,Mg.,0,741,13833,531
7/2W/2010,23.03.2010,0.77,Mg.,2,827,13835,531
8/2W/2010,23.03.2010,8.1,Mg.,2,827,13836,276
9/2W/2010,29.01.2010,10.352,Mg.,2,741,13837,276
77/0W/2010,05.02.2010,52.0,Mg.,0,1494,13839,276
110/1W/2010,18.03.2010,0.045,Mg.,1,7448,13838,575
111/1W/2010,18.03.2010,10.725,Mg.,1,1762,13840,590
112/1W/2010,18.03.2010,11.3,Mg.,1,4435,13841,595
115/1W/2010,17.03.2010,12.24,Mg.,1,4435,13844,582
113/1W/2010,19.03.2010,8.1,Mg.,1,4435,13842,531
116/1W/2010,16.03.2010,12.82,Mg.,1,4435,13845,531
114/1W/2010,22.03.2010,10.02,Mg.,1,4435,13843,247
117/1W/2010,12.03.2010,8.04,Mg.,1,4435,13846,604
10/2W/2010,03.08.2010,0.0,Mg.,2,6065,13847,565
118/1W/2010,09.03.2010,12.8,Mg.,1,4435,13848,572
119/1W/2010,10.03.2010,13.98,Mg.,1,4435,13849,566
120/1W/2010,22.03.2010,1.1,Mg.,1,657,13850,710
122/1W/2010,24.03.2010,7.14,Mg.,1,6091,13852,531
121/1W/2010,18.03.2010,23.94,Mg.,1,8652,13851,576
123/1W/2010,05.03.2010,0.225,Mg.,1,7448,13853,565
124/1W/2010,17.02.2010,57.24,Mg.,1,4435,13857,345
78/0W/2010,26.03.2010,5.87,Mg.,0,5066,13865,564
125/1W/2010,25.03.2010,9.5,Mg.,1,1756,13858,595
132/1W/2010,01.03.2010,19.85,Mg.,1,1756,13868,582
126/1W/2010,22.03.2010,15.66,Mg.,1,1756,13859,531
79/0W/2010,26.03.2010,10.19,Mg.,0,5066,13866,633
127/1W/2010,23.03.2010,14.98,Mg.,1,1756,13860,575
128/1W/2010,23.03.2010,28.75,Mg.,1,1756,13861,271
80/0W/2010,26.03.2010,7.46,Mg.,0,5066,13867,572
129/1W/2010,24.03.2010,6.26,Mg.,1,1756,13862,688
372/0W/2018,19.04.2018,24.74,Mg.,0,11299,33341,588
133/1W/2010,03.03.2010,26.02,Mg.,1,1756,13869,565
130/1W/2010,18.03.2010,16.64,Mg.,1,1756,13863,604
131/1W/2010,20.03.2010,0.18,Mg.,1,7448,13864,582
134/1W/2010,04.03.2010,9.48,Mg.,1,1756,13870,277
135/1W/2010,04.03.2010,26.8,Mg.,1,1756,13871,531
136/1W/2010,05.03.2010,28.4,Mg.,1,1756,13872,511
137/1W/2010,03.03.2010,14.4,Mg.,1,1756,13873,575
138/1W/2010,05.03.2010,21.1,Mg.,1,1756,13874,575
139/1W/2010,22.03.2010,0.0,Mg.,1,7448,13875,564
140/1W/2010,26.03.2010,1.3,Mg.,1,7448,13876,570
144/1W/2010,31.03.2010,1.035,Mg.,1,657,13884,565
141/1W/2010,25.03.2010,9.38,Mg.,1,1431,13877,345
85/0W/2010,02.03.2010,54.8,Mg.,0,1494,13885,605
142/1W/2010,26.03.2010,6.98,Mg.,1,6434,13878,511
86/0W/2010,10.03.2010,24.6,Mg.,0,2382,13886,477
143/1W/2010,25.03.2010,24.1,Mg.,1,8652,13879,576
89/0W/2010,25.03.2010,7.96,Mg.,0,2382,13889,531
81/0W/2010,31.03.2010,3.35,Mg.,0,7534,13880,573
87/0W/2010,18.03.2010,18.14,Mg.,0,2382,13887,528
82/0W/2010,31.03.2010,7.96,Mg.,0,7534,13881,511
92/0W/2010,26.03.2010,18.54,Mg.,0,2382,13892,531
83/0W/2010,31.03.2010,2.54,Mg.,0,7534,13882,528
88/0W/2010,19.03.2010,16.46,Mg.,0,2382,13888,535
84/0W/2010,31.03.2010,11.205,Mg.,0,7534,13883,607
90/0W/2010,25.03.2010,14.7,Mg.,0,2382,13890,582
91/0W/2010,26.03.2010,11.14,Mg.,0,2382,13891,564
145/1W/2010,26.03.2010,12.13,Mg.,1,6118,13893,352
93/0W/2010,26.03.2010,17.64,Mg.,0,2382,13894,582
94/0W/2010,29.03.2010,20.96,Mg.,0,2382,13895,345
95/0W/2010,29.03.2010,21.56,Mg.,0,2382,13896,633
98/0W/2010,31.03.2010,16.4,Mg.,0,2382,13899,223
96/0W/2010,30.03.2010,16.38,Mg.,0,2382,13897,594
146/1W/2010,03.03.2010,0.289,Mg.,1,7448,13900,626
97/0W/2010,31.03.2010,16.62,Mg.,0,2382,13898,564
11/2W/2010,25.03.2010,20.517,Mg.,2,8895,13911,576
99/0W/2010,04.03.2010,3.009,Mg.,0,194,13901,264
109/0W/2010,26.03.2010,0.015,Mg.,0,4059,13912,531
100/0W/2010,04.03.2010,0.64,Mg.,0,194,13902,565
110/0W/2010,26.03.2010,10.483,Mg.,0,4059,13913,570
101/0W/2010,11.03.2010,2.124,Mg.,0,194,13903,621
111/0W/2010,26.03.2010,4.996,Mg.,0,4059,13914,531
102/0W/2010,11.03.2010,1.397,Mg.,0,194,13904,605
112/0W/2010,26.03.2010,1.62,Mg.,0,4059,13915,575
103/0W/2010,19.03.2010,1.519,Mg.,0,194,13905,531
113/0W/2010,26.03.2010,7.528,Mg.,0,4059,13916,531
104/0W/2010,19.03.2010,4.919,Mg.,0,194,13906,579
105/0W/2010,23.03.2010,0.11,Mg.,0,194,13907,572
106/0W/2010,23.03.2010,3.072,Mg.,0,194,13908,531
107/0W/2010,29.03.2010,0.257,Mg.,0,194,13909,597
108/0W/2010,29.03.2010,5.433,Mg.,0,194,13910,271
114/0W/2010,26.03.2010,49.992,Mg.,0,4059,13917,531
115/0W/2010,26.03.2010,21.864,Mg.,0,4059,13918,579
116/0W/2010,26.03.2010,8.407,Mg.,0,4059,13919,531
117/0W/2010,26.03.2010,17.509,Mg.,0,4059,13920,511
118/0W/2010,26.03.2010,20.0,Mg.,0,4059,13921,575
119/0W/2010,26.03.2010,71.903,Mg.,0,4059,13922,564
12/2W/2010,31.03.2010,271.26,Mg.,2,6065,13923,598
13/2W/2010,31.03.2010,34.66,Mg.,2,6065,13925,345
147/1W/2010,03.03.2010,0.265,Mg.,1,7448,13924,575
120/0W/2010,02.04.2010,25.335,Mg.,0,7534,13926,576
121/0W/2010,06.04.2010,6.82,Mg.,0,5066,13927,564
122/0W/2010,06.04.2010,4.44,Mg.,0,5066,13928,565
123/0W/2010,06.04.2010,13.18,Mg.,0,5066,13929,588
124/0W/2010,07.04.2010,0.6,Mg.,0,5066,13930,565
125/0W/2010,07.04.2010,0.54,Mg.,0,5066,13931,531
126/0W/2010,07.04.2010,1.1,Mg.,0,5066,13932,630
127/0W/2010,07.04.2010,0.96,Mg.,0,5066,13933,572
128/0W/2010,07.04.2010,20.86,Mg.,0,5066,13934,522
14/2W/2010,31.03.2010,0.38,Mg.,2,827,13935,579
148/1W/2010,09.04.2010,10.25,Mg.,1,6118,13936,572
149/1W/2010,02.04.2010,8.57,Mg.,1,1762,13937,572
129/0W/2010,13.04.2010,22.58,Mg.,0,5066,13938,576
150/1W/2010,06.04.2010,13.02,Mg.,1,6434,13939,531
130/0W/2010,14.04.2010,0.75,Mg.,0,7534,13940,106
135/0W/2010,23.03.2010,13.84,Mg.,0,6357,13945,575
131/0W/2010,14.04.2010,0.12,Mg.,0,7534,13941,604
151/1W/2010,07.04.2010,8.112,Mg.,1,6118,13947,572
132/0W/2010,14.04.2010,0.86,Mg.,0,7534,13942,565
15/2W/2010,13.04.2010,13.84,Mg.,2,8639,13946,271
133/0W/2010,14.04.2010,0.45,Mg.,0,7534,13943,572
136/0W/2010,13.04.2010,1.58,Mg.,0,827,13950,595
134/0W/2010,14.04.2010,22.575,Mg.,0,7534,13944,545
137/0W/2010,13.04.2010,1.6,Mg.,0,827,13951,570
152/1W/2010,31.03.2010,8.18,Mg.,1,1763,13948,572
138/0W/2010,01.04.2010,14.78,Mg.,0,2382,13952,564
153/1W/2010,14.04.2010,7.68,Mg.,1,1763,13949,575
139/0W/2010,01.04.2010,21.46,Mg.,0,2382,13953,572
140/0W/2010,02.04.2010,17.92,Mg.,0,2382,13954,564
141/0W/2010,02.04.2010,18.04,Mg.,0,2382,13955,605
142/0W/2010,06.04.2010,18.06,Mg.,0,2382,13956,531
143/0W/2010,06.04.2010,22.72,Mg.,0,2382,13957,554
144/0W/2010,07.04.2010,21.04,Mg.,0,2382,13958,576
145/0W/2010,08.04.2010,20.88,Mg.,0,2382,13959,582
154/1W/2010,24.02.2010,0.096,Mg.,1,6118,13969,626
146/0W/2010,08.04.2010,18.46,Mg.,0,2382,13960,531
159/0W/2010,12.03.2010,0.0,Mg.,0,1494,13974,565
147/0W/2010,09.04.2010,14.24,Mg.,0,2382,13961,582
162/0W/2010,07.01.2010,52.95,Mg.,0,3595,13977,833
148/0W/2010,09.04.2010,15.72,Mg.,0,2382,13962,572
155/0W/2010,31.03.2010,92.033,Mg.,0,827,13970,605
149/0W/2010,10.04.2010,19.0,Mg.,0,2382,13963,682
160/0W/2010,23.03.2010,59.95,Mg.,0,1494,13975,572
150/0W/2010,10.04.2010,15.78,Mg.,0,2382,13964,575
156/0W/2010,31.03.2010,81.98,Mg.,0,827,13971,575
151/0W/2010,12.04.2010,9.3,Mg.,0,2382,13965,572
163/0W/2010,22.01.2010,51.9,Mg.,0,3595,13978,531
152/0W/2010,13.04.2010,9.4,Mg.,0,2382,13966,572
157/0W/2010,31.03.2010,0.145,Mg.,0,827,13972,531
153/0W/2010,14.04.2010,18.04,Mg.,0,2382,13967,531
161/0W/2010,02.04.2010,54.14,Mg.,0,1494,13976,575
154/0W/2010,14.04.2010,12.0,Mg.,0,2382,13968,572
158/0W/2010,31.03.2010,0.27,Mg.,0,827,13973,531
164/0W/2010,05.02.2010,49.3,Mg.,0,3595,13979,575
165/0W/2010,12.03.2010,52.65,Mg.,0,3595,13980,605
167/0W/2010,15.04.2010,7.9,Mg.,0,2382,13982,582
166/0W/2010,06.04.2010,48.3,Mg.,0,3595,13981,576
168/0W/2010,15.04.2010,19.74,Mg.,0,2382,13983,565
169/0W/2010,16.04.2010,18.86,Mg.,0,2382,13984,576
170/0W/2010,16.04.2010,17.4,Mg.,0,2382,13985,565
155/1W/2010,04.03.2010,9.56,Mg.,1,1756,13986,363
169/1W/2010,16.04.2010,3.2,Mg.,1,6118,14003,582
156/1W/2010,31.03.2010,13.4,Mg.,1,1756,13987,576
157/1W/2010,02.03.2010,5.35,Mg.,1,1756,13988,576
158/1W/2010,02.03.2010,1.97,Mg.,1,1756,13989,579
159/1W/2010,22.03.2010,9.34,Mg.,1,6091,13990,531
160/1W/2010,19.03.2010,22.36,Mg.,1,6091,13991,564
161/1W/2010,26.03.2010,23.2,Mg.,1,1756,13992,582
162/1W/2010,26.03.2010,30.6,Mg.,1,1756,13993,604
163/1W/2010,29.03.2010,17.84,Mg.,1,1756,13994,531
164/1W/2010,29.03.2010,14.74,Mg.,1,1756,13995,531
165/1W/2010,30.03.2010,8.4,Mg.,1,1756,13996,579
166/1W/2010,05.03.2010,0.94,Mg.,1,5688,13997,531
167/1W/2010,05.03.2010,0.46,Mg.,1,5688,13998,514
170/1W/2010,16.04.2010,4.866,Mg.,1,6118,14004,572
168/1W/2010,16.04.2010,7.02,Mg.,1,6434,13999,531
