NRKARTY,DATAW,MASA,JEDN,FIRMA,NR_KLIENTA,NR_MAGW,NR_ODPADU
12/0W/2019,11.01.2019,11.168,Mg.,0,2349,34889,579
141/0W/2019,14.02.2019,4.72,Mg.,0,6357,35096,575
8/1W/2019,11.01.2019,1.86,Mg.,1,313,34890,548
142/0W/2019,14.02.2019,24.76,Mg.,0,6357,35097,582
143/0W/2019,15.02.2019,4.28,Mg.,0,6357,35098,564
144/0W/2019,18.02.2019,5.06,Mg.,0,6357,35099,576
145/0W/2019,18.02.2019,4.2,Mg.,0,6357,35100,576
146/0W/2019,19.02.2019,4.72,Mg.,0,6357,35101,576
147/0W/2019,21.02.2019,24.38,Mg.,0,6357,35102,531
148/0W/2019,21.02.2019,3.98,Mg.,0,6357,35103,575
149/0W/2019,22.02.2019,4.66,Mg.,0,6357,35104,565
150/0W/2019,25.02.2019,4.8,Mg.,0,6357,35105,582
1215/0W/2018,31.10.2018,24.28,Mg.,0,17224,34498,288
1410/0W/2018,22.11.2018,25.66,Mg.,0,2001,34755,345
1216/0W/2018,30.10.2018,2.264,Mg.,0,13452,34499,565
1412/0W/2018,14.12.2018,3.1,Mg.,0,13771,34759,531
1217/0W/2018,30.10.2018,0.011,Mg.,0,13452,34500,594
378/0W/2019,16.04.2019,7.58,Mg.,0,13771,35446,531
1218/0W/2018,02.11.2018,20.68,Mg.,0,17224,34501,564
1411/0W/2018,23.11.2018,24.34,Mg.,0,2001,34756,507
151/0W/2019,26.02.2019,24.48,Mg.,0,17224,35106,357
515/1W/2018,13.12.2018,8.78,Mg.,1,6827,34757,528
1413/0W/2018,23.11.2018,25.56,Mg.,0,2001,34760,193
516/1W/2018,13.12.2018,18.66,Mg.,1,6827,34758,900
1414/0W/2018,24.11.2018,24.44,Mg.,0,2001,34761,531
152/0W/2019,26.02.2019,24.78,Mg.,0,11299,35107,276
1415/0W/2018,26.11.2018,24.2,Mg.,0,2001,34762,531
153/0W/2019,27.02.2019,23.9,Mg.,0,17224,35108,579
1416/0W/2018,27.11.2018,25.02,Mg.,0,2001,34763,575
1417/0W/2018,28.11.2018,23.02,Mg.,0,2001,34764,568
1418/0W/2018,28.11.2018,23.9,Mg.,0,2001,34765,682
443/1W/2018,26.10.2018,20.04,Mg.,1,3136,34482,531
1419/0W/2018,14.12.2018,18.12,Mg.,0,5905,34766,531
444/1W/2018,24.10.2018,0.044,Mg.,1,17472,34483,531
1438/0W/2018,06.11.2018,10.0,Mg.,0,827,34790,531
445/1W/2018,18.10.2018,0.14,Mg.,1,396,34484,565
1210/0W/2018,19.09.2018,0.34,Mg.,0,5012,34485,651
1211/0W/2018,19.09.2018,0.18,Mg.,0,5012,34486,582
517/1W/2018,13.12.2018,5.36,Mg.,1,6827,34767,604
860/0W/2018,02.08.2018,4.26,Mg.,0,6357,34005,626
861/0W/2018,06.08.2018,6.24,Mg.,0,6357,34006,575
1420/0W/2018,17.12.2018,0.4,Mg.,0,2423,34768,531
862/0W/2018,07.08.2018,5.94,Mg.,0,6357,34007,579
863/0W/2018,08.08.2018,4.6,Mg.,0,6357,34008,531
1421/0W/2018,17.12.2018,0.32,Mg.,0,2423,34769,511
1422/0W/2018,17.12.2018,0.012,Mg.,0,2423,34770,531
889/0W/2018,21.08.2018,1.27,Mg.,0,15680,34047,803
890/0W/2018,21.08.2018,4.3,Mg.,0,13771,34048,531
1423/0W/2018,17.12.2018,8.18,Mg.,0,2423,34771,569
518/1W/2018,18.12.2018,6.07,Mg.,1,14556,34774,575
1424/0W/2018,17.12.2018,0.0,Mg.,0,17368,34772,511
61/1W/2019,25.02.2019,1.16,Mg.,1,396,35109,564
1425/0W/2018,14.12.2018,0.0,Mg.,0,2423,34773,565
519/1W/2018,18.12.2018,9.78,Mg.,1,16393,34775,575
454/1W/2018,29.10.2018,6.74,Mg.,1,6827,34505,594
1426/0W/2018,17.12.2018,5.97,Mg.,0,2423,34776,531
62/1W/2019,25.02.2019,0.65,Mg.,1,396,35110,528
1222/0W/2018,25.10.2018,0.725,Mg.,0,15680,34506,531
1223/0W/2018,26.10.2018,1.07,Mg.,0,15680,34507,572
455/1W/2018,05.11.2018,7.8,Mg.,1,6827,34508,531
509/1W/2018,07.12.2018,13.97,Mg.,1,3136,34711,528
1372/0W/2018,10.12.2018,24.62,Mg.,0,11299,34712,531
1373/0W/2018,10.12.2018,10.6,Mg.,0,2349,34713,370
1374/0W/2018,10.12.2018,6.09,Mg.,0,17368,34714,579
362/1W/2018,05.09.2018,5.6,Mg.,1,13327,34158,565
520/1W/2018,13.12.2018,0.1,Mg.,1,396,34777,390
